2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🔄 Fuzzy порог: 85%
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    💾 Кэш: 710 записей
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    ���� Глобальная дедупликация: ✅
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    ☀️ ДЕНЬ: 10-15 мин
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🌙 НОЧЬ: 30-45 мин
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ============================================================
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ============================================================
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | 🔄 Цикл #1 | ☀️ ДЕНЬ | 2026-03-06 20:58:07
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ============================================================
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ⏰ Запуск планировщика дайджестов для politics на 22:00
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ⏰ Следующий дайджест через 1.0 ч
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | 🔄 Начинаем загрузку 4 фидов (по приоритету)...
2026-03-06T20:58:09: 2026-03-06 20:58:09 | INFO    | ✅ https://ria.ru/export/rss2/archive/index.xml: 92 записей
2026-03-06T20:58:10: 2026-03-06 20:58:10 | INFO    | ✅ https://tass.ru/rss/v2.xml: 100 записей
2026-03-06T20:58:11: 2026-03-06 20:58:11 | INFO    | ✅ https://lenta.ru/rss/news: 200 записей
2026-03-06T20:58:11: 2026-03-06 20:58:11 | INFO    | ✅ https://www.interfax.ru/rss.asp: 25 записей
2026-03-06T20:58:12: 2026-03-06 20:58:12 | INFO    | 🔄 Entity дубликат: Экс-премьер Молдавии оценил, сколько жители перепл
2026-03-06T20:58:12: 2026-03-06 20:58:12 | INFO    | ✓ Ключевые слова (1, HOT:0): Бывший президент США признался в воровстве из закусочных
2026-03-06T20:58:12: 2026-03-06 20:58:12 | INFO    | 🔍 LLM проверка: Бывший президент США признался в воровстве из закусочных
2026-03-06T20:58:12: 2026-03-06 20:58:12 | INFO    | 🔗 Дубликат по ссылке: Президенты РФ и Ирана условились продолжать контак
2026-03-06T20:58:12: 2026-03-06 20:58:12 | INFO    | 🔄 Entity дубликат: В двух российских областях отменили ракетную опасн
