2026-03-06T21:12:59: 2026-03-06 21:12:59 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=3
2026-03-06T21:12:59: 2026-03-06 21:12:59 | INFO    | ✓ Скор: 1310 (SUPER:130, HOT:1, Ключ:7, Возраст:3.7ч): All Christian Bale Movies Ranked
2026-03-06T21:12:59: 2026-03-06 21:12:59 | INFO    | ✓ Скор: 6 (SUPER:0, HOT:0, Ключ:6, Возраст:22.5ч): All Jessie Buckley Movies Ranked by Tomatometer
2026-03-06T21:12:59: 2026-03-06 21:12:59 | INFO    | 🌟 Супер-горячая новость: звезда=80, процессы=3
2026-03-06T21:13:00: 2026-03-06 21:13:00 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=2
2026-03-06T21:13:00: 2026-03-06 21:13:00 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=2
2026-03-06T21:13:01: 2026-03-06 21:13:01 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=1
2026-03-06T21:13:04: 2026-03-06 21:13:04 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=1
2026-03-06T21:13:05: 2026-03-06 21:13:05 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=6
2026-03-06T21:13:05: 2026-03-06 21:13:05 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=2
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=4
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=4
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | ✓ Скор: 1 (SUPER:0, HOT:0, Ключ:1, Возраст:3.2ч): "Охота на Голлума" станет началом новой трилогии "Властелин 
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=1
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | 🔗 Дубликат по ссылке (< 24ч): Боевик с Киану Ривзом обрел исполнительницу главно
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=2
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | 🔗 Дубликат по ссылке (< 24ч): Анонсирован следующий проект режиссера Квентина Та
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | ✓ Скор: 2 (SUPER:0, HOT:0, Ключ:2, Возраст:13.2ч): Венсан Кассель сыграет в четвертом сезоне сериала "Белый лот
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | 🌟 Супер-горячая новость: звезда=80, процессы=1
2026-03-06T21:13:06: 2026-03-06 21:13:06 | INFO    | ✓ Скор: 902 (SUPER:90, HOT:0, Ключ:2, Возраст:13.4ч): Уточнен график выхода фильма "Вольтрон" с Генри Кавиллом
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | 🌟 Супер-горячая новость: звезда=80, процессы=1
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | ✓ Скор: 907 (SUPER:90, HOT:1, Ключ:4, Возраст:13.6ч): Питер Джексон получит "Золотую пальмовую ветвь" в Каннах
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | ✓ Скор: 7 (SUPER:0, HOT:1, Ключ:4, Возраст:13.9ч): Netflix назначил Бена Аффлека консультантом по ИИ
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | ✓ Скор: 5 (SUPER:0, HOT:1, Ключ:2, Возраст:14.1ч): Хоумлендер обретает бессмертие в трейлере сериала "Пацаны"
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | ✓ Скор: 2 (SUPER:0, HOT:0, Ключ:2, Возраст:14.7ч): Уточнен съемочный график фильма о Ганнибале с Дензелом Вашин
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=1
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | 📊 Найдено записей: 10
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | 🏆 ТОП-1 новость: Best New Horror Movies of 2026 (score=1406)
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | 🏆 ТОП-1 для обработки: Best New Horror Movies of 2026
2026-03-06T21:13:07: 2026-03-06 21:13:07 | INFO    | 🌍 Английский текст — перевод (Mistral)...
2026-03-06T21:14:01: 2026-03-06 21:14:01 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T21:14:01: 2026-03-06 21:14:01 | INFO    | ✅ Перевод выполнен: 1947 символов
2026-03-06T21:14:01: 2026-03-06 21:14:01 | INFO    | ✅ Перевод выполнен: 1947 символов
2026-03-06T21:14:01: 2026-03-06 21:14:01 | INFO    | 🔍 LLM classify для ТОП-1...
2026-03-06T21:14:04: 2026-03-06 21:14:04 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
