2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [9] Обработка: В Днепропетровске мужчина ударил ножом сотрудников ТЦК
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Днепропетровске мужчина ударил ножом сотрудников
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [10] Обработка: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    | ============================================================
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    | ✅ Цикл завершён
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    | ============================================================
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | ============================================================
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | 🔄 Проверка срочных новостей...
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | ============================================================
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | 📂 Категория: POLITICS
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    | 📰 politics: найдено 30 новостей за последние 3ч
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    [1] Обработка: Владелец "Интер Майами" назвал годовую зарплату Месси
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ Новость отклонена: Владелец "Интер Майами" назвал годовую зарплату Ме
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    [2] Обработка: Театр Наций выпустил спектакль о женщинах Горького
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ Новость отклонена: Театр Наций выпустил спектакль о женщинах Горького
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    [3] Обработка: Во Владикавказе состоялся премьерный показ комедии "Гордость
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:56:13: 2026-03-06 20:56:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
